avion,daño recibido,cantidad de impactos,cantidad disparos,derribado,objetivo,cantidad de saltos
A10,0,0,0,False,True,105
A10,0,0,0,False,True,104
A10,0,0,0,False,True,96
F15,0,0,2,False,True,80
F15,0,0,0,False,True,98
A10,0,0,0,False,True,85
A10,0,0,0,False,True,91
A10,0,0,0,False,True,107
A10,0,0,0,False,True,97
F15,1970.1745812597746,7,18,True,True,106
A10,0,0,24,False,True,113
A10,1983.7523077468493,13,53,True,True,87
F15,0,0,0,False,True,97
F15,526.3381501059494,2,8,True,True,91
F15,0,0,0,False,True,114
A10,733.158603420907,3,36,True,True,85
A10,36074.214040688916,133,678,True,True,113
F15,0,0,0,False,True,79
F15,0,0,0,False,True,96
F15,0,0,0,False,True,97
F15,0,0,2,False,True,103
A10,0,0,0,False,True,100
F15,177.972805392113,1,10,True,True,104
A10,1286.8249142130562,6,24,True,True,110
A10,0,0,0,False,True,93
A10,1240.848445440274,17,198,True,True,119
F15,0,0,0,False,True,90
A10,121.61055698320263,1,18,False,True,116
F15,238.8444774487624,1,7,True,True,103
F15,0,0,0,False,True,103
F15,25.25757906286529,1,6,False,True,114
F15,364.40780114529855,1,8,True,True,122
F15,179.9296909328924,1,7,True,True,89
F15,0,0,0,False,True,104
A10,0,0,0,False,True,103
A10,0,0,0,False,True,103
A10,1850.0293516240824,5,30,True,True,90
F15,0,0,2,False,True,92
A10,0,0,0,False,True,79
F15,0,0,0,False,True,119
F15,248.1792328408062,1,6,True,True,94
A10,161.16427092393036,2,12,False,True,88
F15,0,0,0,False,True,111
A10,207.7711270829568,1,18,False,True,95
A10,0,0,0,False,True,94
F15,0,0,2,False,True,86
A10,1550.4012418611157,15,132,True,True,135
F15,968.1326728377896,2,10,True,True,117
A10,0,0,0,False,True,107
F15,0,0,0,False,True,89
F15,0,0,0,False,True,105
F15,0,0,0,False,True,106
F15,213.92469182527395,2,8,True,True,87
A10,39.428571428571416,1,6,False,True,104
F15,0,0,0,False,True,103
F15,0,0,0,False,True,121
F15,0,0,2,False,True,92
F15,0,0,2,False,True,84
A10,174.88535389222773,1,11,False,True,102
A10,0,0,0,False,True,92
A10,0,0,0,False,True,99
F15,0,0,0,False,True,97
F15,0,0,0,False,True,113
A10,0,0,0,False,True,88
F15,36844.50382595176,161,254,True,True,93
A10,0,0,0,False,True,87
F15,0,0,14,False,True,113
A10,125924.06850706045,279,630,True,True,105
F15,491.91414908749516,3,10,True,True,113
F15,0,0,0,False,True,97
F15,0,0,0,False,True,121
A10,0,0,0,False,True,104
A10,0,0,0,False,True,101
F15,0,0,0,False,True,98
A10,0,0,0,False,True,82
A10,0,0,0,False,True,119
A10,0,0,0,False,True,120
F15,0,0,0,False,True,104
A10,191.65763616470252,1,12,False,True,86
F15,0,0,0,False,True,105
A10,1795.2724790908255,6,42,True,True,85
A10,914.6530095900064,5,27,True,True,101
F15,0,0,0,False,True,125
F15,2996.324814828681,5,16,True,True,91
A10,0,0,0,False,True,103
A10,0,0,12,False,True,128
F15,1665.464778269971,3,12,True,True,137
F15,30.126055325914194,1,7,False,True,102
F15,0,0,0,False,True,100
F15,0,0,0,False,True,117
F15,0,0,6,False,True,98
A10,0,0,0,False,True,101
F15,1402.576953149051,3,12,True,True,99
F15,0,0,0,False,True,89
A10,0,0,0,False,True,100
A10,611.0219447375596,3,48,True,True,152
F15,0,0,0,False,True,89
A10,0,0,0,False,True,84
A10,0,0,0,False,True,107
F15,0,0,2,False,True,83
F15,0,0,0,False,True,87
A10,361.8631232281979,3,18,False,True,95
F15,0,0,4,False,True,108
A10,2220.8716234347316,7,30,True,True,103
F15,0,0,0,False,True,102
A10,470.3356626576765,2,18,False,True,98
F15,0,0,2,False,True,92
F15,0,0,0,False,True,106
F15,1029.5284161351324,3,21,True,True,118
F15,0,0,0,False,True,101
F15,0,0,4,False,True,96
F15,0,0,2,False,True,120
A10,0,0,0,False,True,93
F15,0,0,0,False,True,105
A10,0,0,0,False,True,100
F15,2145.2626384596715,8,43,True,True,86
F15,122.09092997035228,2,2,True,True,96
A10,0,0,0,False,True,107
A10,0,0,12,False,True,99
F15,0,0,2,False,True,117
A10,242.5978901425566,3,12,False,True,92
F15,0,0,4,False,True,106
F15,103.47139881859869,1,6,True,True,108
F15,587.1018179583252,2,8,True,True,100
F15,572.7616368447407,2,10,True,True,85
F15,0,0,0,False,True,88
F15,0,0,2,False,True,109
A10,0,0,6,False,True,102
F15,0,0,0,False,True,105
F15,0,0,0,False,True,89
F15,0,0,0,False,True,94
F15,34294.1796756038,76,178,True,True,89
F15,0,0,0,False,True,95
F15,0,0,0,False,True,89
A10,0,0,0,False,True,92
A10,451.28310976691614,2,18,False,True,91
A10,0,0,0,False,True,100
A10,0,0,6,False,True,96
A10,0,0,6,False,True,102
A10,0,0,0,False,True,100
F15,0,0,6,False,True,127
A10,0,0,6,False,True,87
A10,0,0,0,False,True,102
A10,0,0,6,False,True,87
F15,20689.90382022829,64,264,True,True,132
F15,0,0,0,False,True,98
A10,0,0,0,False,True,132
A10,0,0,6,False,True,82
F15,0,0,0,False,True,96
F15,0,0,0,False,True,81
A10,0,0,0,False,True,89
F15,0,0,0,False,True,106
F15,33.16505249304683,1,6,False,True,95
A10,0,0,0,False,True,88
A10,0,0,0,False,True,100
A10,0,0,0,False,True,103
A10,0,0,0,False,True,96
F15,52.133415739627694,1,4,False,True,87
A10,1323.9016221379352,8,42,True,True,122
F15,0,0,0,False,True,150
F15,0,0,8,False,True,124
F15,0,0,6,False,True,94
A10,0,0,0,False,True,98
A10,0,0,0,False,True,140
F15,0,0,0,False,True,109
F15,0,0,2,False,True,123
F15,0,0,0,False,True,86
F15,2132.09875678958,8,28,True,True,82
F15,0,0,2,False,True,111
A10,2722.593725859226,8,36,True,True,110
A10,0,0,0,False,True,82
F15,0,0,0,False,True,103
F15,0,0,0,False,True,91
A10,70.13348499754136,1,12,False,True,99
A10,0,0,6,False,True,102
F15,307.8437706145447,1,6,True,True,92
A10,0,0,0,False,True,100
A10,0,0,0,False,True,102
A10,0,0,0,False,True,83
A10,0,0,0,False,True,91
F15,118.80596200431728,1,2,True,True,90
F15,0,0,0,False,True,99
A10,0,0,0,False,True,105
F15,0,0,0,False,True,107
A10,0,0,0,False,True,100
A10,0,0,0,False,True,103
F15,292.0304716110014,1,6,True,True,87
A10,0,0,6,False,True,116
A10,3718.869522401399,10,59,True,True,108
A10,0,0,0,False,True,98
F15,0,0,0,False,True,96
F15,0,0,0,False,True,97
A10,3501.8393600404906,15,65,True,True,134
F15,0,0,0,False,True,97
A10,0,0,6,False,True,100
A10,0,0,0,False,True,80
A10,217.31499760138274,1,12,False,True,136
F15,0,0,0,False,True,100
A10,0,0,0,False,True,98
F15,1028.6075901332706,2,10,True,True,105
A10,214.65059093919103,1,18,False,True,95
F15,726.6014253782521,2,10,True,True,98
F15,0,0,0,False,True,100
A10,4558.9375269289985,12,42,True,True,121
A10,29.425883116139744,1,6,False,True,120
F15,1483.1188179130038,21,104,True,True,117
A10,0,0,0,False,True,98
F15,0,0,0,False,True,148
A10,0,0,0,False,True,102
F15,0,0,0,False,True,88
A10,1014.0452693233378,7,19,True,True,102
A10,0,0,6,False,True,109
A10,0,0,0,False,True,99
F15,0,0,6,False,True,110
A10,1313.776610377195,6,21,True,True,91
A10,0,0,0,False,True,99
F15,0,0,0,False,True,86
A10,0,0,12,False,True,97
F15,328.91322674843116,2,6,True,True,79
A10,0,0,0,False,True,92
A10,239.70528759057174,2,41,False,True,108
F15,0,0,0,False,True,80
F15,0,0,0,False,True,94
F15,231.88637755244054,1,11,True,True,86
A10,0,0,0,False,True,93
F15,0,0,8,False,True,137
F15,0,0,0,False,True,106
A10,0,0,0,False,True,103
F15,1038.0189531766614,3,12,True,True,108
F15,0,0,0,False,True,95
A10,430.5299191220052,3,20,False,True,107
A10,109.21222031445132,1,6,False,True,120
A10,93.01498619862832,1,41,False,True,97
A10,0,0,0,False,True,101
F15,0,0,0,False,True,104
F15,23330.683523403502,69,230,True,True,115
F15,0,0,14,False,True,96
A10,0,0,0,False,True,118
A10,0,0,0,False,True,100
F15,200.57668716604542,2,18,True,True,134
A10,0,0,0,False,True,105
A10,0,0,0,False,True,106
F15,0,0,0,False,True,82
A10,579.3951922046248,3,17,True,True,98
A10,0,0,0,False,True,109
A10,0,0,0,False,True,98
F15,0,0,0,False,True,102
F15,122.84074991029024,1,24,True,True,100
F15,0,0,6,False,True,83
