avion,daño recibido,cantidad de impactos,cantidad disparos,derribado,objetivo,cantidad de saltos
F15,162.88887371034753,1,15,True,False,97
F15,34.51598602324316,1,31,False,True,97
F15,123.75,1,17,True,False,107
A10,188.0429700466467,1,12,False,True,91
A10,120.82074430847433,1,66,False,True,106
F15,0.0,0,0,False,True,104
F15,0.0,0,14,False,True,84
F15,86.71272945896402,2,23,True,False,108
F15,199.25129815145627,2,7,True,False,87
F15,123.01665075755966,1,6,True,False,64
F15,67.33257942987547,2,16,True,False,37
A10,571.9492456743817,8,66,True,False,54
F15,64.65023840104061,1,10,True,False,103
F15,0.0,0,28,False,True,99
A10,406.7591197776036,3,106,False,True,98
F15,112.0983167298092,1,1,True,False,94
F15,0.0,0,4,False,True,109
F15,190.44688359503357,1,15,True,False,46
F15,159.03567899662005,1,3,True,False,74
A10,0.0,0,12,False,True,101
F15,0.0,0,0,False,True,131
A10,33.66628971493773,1,42,False,True,105
A10,490.8109203769598,6,48,True,False,49
A10,658.2912716286584,7,59,True,False,49
F15,33.66628971493773,1,6,False,True,117
A10,614.8753608586413,6,42,True,False,53
F15,66.77383815719261,2,13,True,False,56
A10,0.0,0,0,False,True,160
F15,115.78750494524982,2,19,True,False,68
F15,162.88887371034753,1,15,True,False,99
F15,0.0,0,0,False,True,85
A10,310.48900528803836,5,44,False,True,147
F15,190.44688359503357,1,20,True,False,87
F15,0.0,0,10,False,True,114
F15,0.0,0,38,False,True,135
A10,560.4701270471077,5,97,True,False,110
A10,64.65023840104061,1,30,False,True,94
F15,0.0,0,4,False,True,81
A10,123.01665075755966,1,36,False,True,108
F15,0.0,0,4,False,True,80
A10,550.2056180155569,4,35,True,False,13
A10,539.5463994560932,3,36,True,False,78
F15,171.43763135885206,1,5,True,False,72
A10,0.0,0,0,False,True,93
F15,150.62838824786002,1,19,True,False,117
F15,117.17458842983388,1,4,True,False,44
F15,69.03197204648632,2,20,True,False,98
F15,0.0,0,10,False,True,89
A10,0.0,0,0,False,True,89
A10,499.06015999638385,9,92,True,False,66
F15,0.0,0,4,False,True,119
A10,538.9748138036409,3,43,True,False,14
A10,187.59458246566695,3,72,False,True,102
A10,0.0,0,18,False,True,116
F15,0.0,0,0,False,True,100
A10,0.0,0,0,False,True,98
F15,221.70925976158443,2,15,True,False,112
F15,0.0,0,0,False,True,123
A10,357.3658276172274,3,66,False,True,107
F15,34.51598602324316,1,12,False,True,121
A10,519.903686676191,3,55,True,False,78
F15,102.582987620479,2,9,True,False,70
A10,0.0,0,0,False,True,113
F15,224.96286961827673,2,19,True,False,51
A10,188.0429700466467,1,12,False,True,123
F15,0.0,0,4,False,True,117
F15,188.0429700466467,1,4,True,False,106
