avion,daño recibido,cantidad de impactos,cantidad disparos,derribado,objetivo,cantidad de saltos
F15,126.4,1,7,True,False,36
F15,159.01905021358385,2,5,True,False,83
A10,517.5711605950445,5,11,True,False,35
F15,64.51570426789891,2,10,True,False,69
F15,109.88652875722936,1,6,True,False,64
F15,125.3867077555457,1,17,True,False,71
A10,33.66628971493773,1,72,False,True,111
F15,0.0,0,22,False,True,87
F15,76.1716038564497,1,23,True,False,94
A10,0.0,0,0,False,True,103
A10,123.01665075755966,1,36,False,True,106
F15,221.70925976158443,2,15,True,False,67
A10,559.800062460968,7,13,True,False,51
A10,525.4605828163767,5,53,True,False,48
F15,0.0,0,0,False,True,97
A10,0.0,0,50,False,True,119
F15,84.1053361559589,1,2,True,False,68
F15,30.30193133936592,1,16,False,True,139
A10,546.8493275759827,6,16,True,False,28
F15,0.0,0,12,False,True,128
F15,152.88756960705592,2,9,True,False,83
A10,500.13508236673795,6,66,True,False,48
F15,0.0,0,32,False,True,108
A10,558.7437281318741,5,10,True,False,44
F15,141.56307941925706,1,18,True,False,80
A10,610.4090328424945,5,18,True,False,16
F15,115.74618660499414,1,18,True,False,49
A10,602.3471084166558,4,65,True,False,106
A10,185.47098270951494,2,57,False,True,92
F15,73.46676938886426,1,9,True,False,82
A10,516.8,5,9,True,False,50
A10,30.30193133936592,1,47,False,True,99
F15,139.63532470182744,1,5,True,False,44
F15,73.46676938886426,1,5,True,False,46
A10,500.8418177122139,6,42,True,False,82
F15,27.81366679260421,1,50,False,True,88
A10,552.7247578149754,5,11,True,False,38
F15,60.21247748014244,2,15,True,False,80
F15,0.0,0,18,False,True,93
F15,120.82074430847433,1,7,True,False,48
A10,534.8200877925742,6,45,True,False,81
A10,526.7129075225832,9,54,True,False,51
F15,178.50740648292174,1,10,True,False,124
F15,120.82074430847433,1,8,True,False,40
A10,589.0904693748287,7,94,True,False,56
A10,545.0359724011473,7,25,True,False,50
F15,144.8210672311918,1,5,True,False,50
A10,382.68999072923054,4,52,False,True,113
F15,184.0543840486206,1,15,True,False,37
F15,76.1716038564497,1,11,True,False,98
F15,116.23900047487852,2,3,True,False,27
F15,62.09882533901853,1,2,True,False,70
F15,0.0,0,4,False,True,102
A10,515.7968538248527,9,83,True,False,39
F15,0.0,0,10,False,True,108
A10,572.8734199623588,7,42,True,False,62
A10,98.176312492833,3,10,False,True,104
F15,88.64287001287117,1,2,True,False,31
A10,0.0,0,40,False,True,101
F15,178.50740648292174,1,11,True,False,12
A10,117.17458842983388,1,83,False,True,135
F15,146.24941266950927,2,19,True,False,70
A10,588.2596362911529,4,45,True,False,17
F15,54.618407679519294,1,18,False,True,117
F15,0.0,0,28,False,True,95
A10,474.7167327477971,6,60,False,True,82
F15,66.77383815719261,2,26,True,False,71
F15,77.41767743639078,1,4,True,False,47
F15,117.06749483200403,1,9,True,False,69
A10,0.0,0,30,False,True,92
A10,606.0809842378867,5,69,True,False,88
A10,514.3239895867833,5,14,True,False,32
A10,577.6304949343219,9,64,True,False,72
F15,93.31626885064094,1,3,True,False,43
F15,66.77383815719261,2,9,True,False,80
F15,62.807407689680375,1,17,True,False,43
F15,69.03197204648632,2,7,True,False,41
F15,216.06152447215024,2,17,True,False,72
A10,494.52729096390374,6,53,True,False,89
F15,106.98226711750115,1,3,True,False,42
F15,176.86699319821554,2,23,True,False,64
A10,120.82074430847433,1,15,False,True,79
F15,171.43763135885206,1,11,True,False,48
F15,184.35252468959413,2,13,True,False,64
F15,116.5341513369404,1,4,True,False,47
F15,71.97019690698946,2,37,True,False,91
F15,71.16563311142102,1,9,True,False,68
F15,90.60046224988918,2,26,True,False,90
F15,78.01706608895645,2,4,True,False,70
F15,93.77877192975451,2,21,True,False,48
A10,0.0,0,42,False,True,106
F15,188.0429700466467,1,15,True,False,33
F15,123.75,1,16,True,False,60
A10,519.4397151888066,7,54,True,False,104
F15,154.50604462877192,2,37,True,False,82
F15,64.0,1,2,True,False,45
F15,117.17458842983388,1,10,True,False,97
F15,64.65023840104061,1,2,True,False,52
F15,62.99121140131645,2,5,True,False,29
A10,512.4113805290248,5,43,True,False,60
A10,574.7509809817543,6,13,True,False,29
F15,105.27157959524138,1,13,True,False,59
A10,0.0,0,0,False,True,101
A10,431.50428422463426,4,69,False,True,110
A10,603.5976614077645,6,14,True,False,33
A10,648.2185345408155,9,56,True,False,102
A10,587.7945090396543,5,62,True,False,76
F15,178.50740648292174,1,25,True,False,31
A10,276.82859644242376,3,68,False,True,112
A10,321.7707797056034,6,18,False,True,126
F15,222.8429700466467,2,21,True,False,38
A10,597.7762155865057,7,64,True,False,69
A10,566.312569908207,4,53,True,False,21
F15,218.34490138601262,2,23,True,False,41
A10,518.7384491105634,7,30,True,False,26
F15,39.71234477304,1,20,False,True,125
F15,0.0,0,8,False,True,105
A10,508.2833778360927,5,21,True,False,54
A10,306.2917270179893,3,43,False,True,97
F15,0.0,0,2,False,True,98
F15,123.01665075755966,1,11,True,False,50
A10,647.368798321741,9,35,True,False,84
F15,68.67377156588586,1,1,True,False,58
F15,112.0,1,4,True,False,61
A10,181.76070253068383,4,52,False,True,84
A10,63.968221054303655,2,42,False,True,122
A10,588.8872348901202,7,25,True,False,28
F15,115.74618660499414,1,3,True,False,61
F15,93.31626885064094,1,3,True,False,31
F15,0.0,0,32,False,True,130
A10,612.8685854284553,5,11,True,False,24
A10,288.86394728467656,5,143,False,True,118
A10,491.1782088703641,5,46,True,False,100
A10,517.4444470183779,7,59,True,False,58
F15,78.25894544355327,1,3,True,False,34
A10,592.9029393723691,5,9,True,False,40
A10,572.7468775183239,5,42,True,False,59
F15,101.60547970913709,1,15,True,False,83
A10,586.7742187181398,6,13,True,False,29
F15,80.11207850995245,1,1,True,False,49
F15,135.52470633475463,1,16,True,False,92
F15,120.82074430847433,1,4,True,False,28
A10,234.34917685966775,2,36,False,True,99
A10,376.0859400932934,2,12,False,True,99
F15,71.49237320998829,1,9,True,False,55
F15,63.88007490639622,1,4,True,False,53
F15,43.804303005662035,1,20,False,True,91
F15,107.54852167638339,2,12,True,False,66
A10,87.80193763388857,3,51,False,True,143
A10,426.83239081199457,5,118,False,True,93
A10,627.5860979378288,6,9,True,False,12
A10,353.14912559746017,5,48,False,True,115
A10,519.5211216092672,4,15,True,False,37
F15,136.0,1,3,True,False,53
F15,33.66628971493773,1,39,False,True,131
A10,542.855345799851,6,14,True,False,45
F15,152.9119027852205,1,14,True,False,75
F15,0.0,0,10,False,True,131
F15,0.0,0,12,False,True,107
A10,617.4119010017187,5,81,True,False,35
A10,578.5667443052093,4,83,True,False,19
F15,152.9119027852205,1,3,True,False,54
A10,513.4959684749987,5,80,True,False,87
F15,76.03429271422767,1,1,True,False,47
A10,526.1808544116451,8,46,True,False,59
A10,577.8446371097001,5,14,True,False,28
F15,76.03429271422767,1,15,True,False,98
A10,596.6539167546224,6,54,True,False,84
F15,121.6,1,4,True,False,48
A10,493.6604736412703,6,115,True,False,65
F15,172.4114861288382,2,3,True,False,32
A10,388.58234661455987,7,90,False,True,96
A10,538.4683006024923,6,159,True,False,120
A10,262.2891603992856,6,66,False,True,110
F15,61.04546498517614,1,1,True,False,85
F15,65.10193133936593,2,26,True,False,59
F15,112.20921235890323,2,8,True,False,67
F15,33.66628971493773,1,16,False,True,84
A10,261.1149291375172,4,84,False,True,133
A10,569.5370939029089,6,29,True,False,42
F15,178.50740648292174,1,12,True,False,87
A10,250.12122111055555,3,30,False,True,118
A10,233.64158576228115,3,47,False,True,119
F15,87.36281943797653,1,3,True,False,52
F15,64.65023840104061,1,12,True,False,88
A10,532.2700418374909,9,96,True,False,85
F15,72.40821956370564,1,2,True,False,29
A10,540.6617703266426,4,31,True,False,38
F15,227.53601397546947,1,17,True,False,100
A10,0.0,0,66,False,True,102
F15,0.0,0,32,False,True,103
A10,568.3760580689882,7,29,True,False,65
F15,204.22592567701975,1,11,True,False,98
F15,119.27064940365486,1,5,True,False,65
A10,555.8495466835273,6,33,True,False,62
F15,204.22592567701975,1,13,True,False,82
A10,560.6959520232149,4,126,True,False,124
A10,524.2616197953876,5,94,True,False,97
F15,0.0,0,32,False,True,104
A10,488.1842568231026,3,10,True,False,87
A10,0.0,0,36,False,True,80
F15,123.01665075755966,1,8,True,False,67
F15,154.38527832892441,2,3,True,False,41
F15,88.0,1,10,True,False,65
A10,533.434562732079,5,45,True,False,61
F15,219.27787993852922,2,15,True,False,54
F15,71.75307370791887,1,3,True,False,44
F15,113.46676938886426,2,3,True,False,57
F15,104.33431429240265,2,6,True,False,50
F15,30.30193133936592,1,28,False,True,93
A10,591.6797689132111,4,41,True,False,71
A10,0.0,0,57,False,True,92
F15,73.46676938886426,1,1,True,False,57
F15,73.46676938886426,1,3,True,False,56
F15,0.0,0,12,False,True,99
F15,152.9119027852205,1,12,True,False,41
A10,608.919711022896,5,45,True,False,47
A10,628.2325377012819,5,16,True,False,44
A10,415.7982848663334,3,72,False,True,106
A10,462.69846891742566,4,204,False,True,139
A10,129.30047680208122,2,78,False,True,104
F15,49.18339474609412,1,48,False,True,95
F15,0.0,0,4,False,True,119
F15,126.49606806224207,2,13,True,False,64
F15,123.01665075755966,1,8,True,False,43
F15,60.071518926553665,2,7,True,False,77
A10,501.0586015326885,7,31,True,False,80
F15,0.0,0,2,False,True,101
A10,545.5802474319237,5,11,True,False,35
A10,585.3416055338926,9,94,True,False,37
F15,77.83723471060628,1,4,True,False,35
A10,140.6272789911057,2,42,False,True,86
A10,188.0429700466467,1,12,False,True,99
F15,108.97530009887367,1,17,True,False,72
F15,121.30116280816696,1,3,True,False,68
F15,222.8429700466467,2,21,True,False,58
F15,0.0,0,12,False,True,129
F15,105.27157959524138,1,14,True,False,67
F15,199.97529604734342,2,7,True,False,99
A10,604.8547356009674,6,11,True,False,20
A10,604.5384350354495,6,12,True,False,10
A10,226.01158150803005,6,102,False,True,140
F15,0.0,0,4,False,True,121
F15,85.6341321779129,2,2,True,False,37
F15,48.664830354465266,1,12,False,True,90
F15,0.0,0,18,False,True,112
F15,60.071518926553665,2,26,True,False,97
A10,491.672439490559,7,30,True,False,61
A10,513.2342936185764,5,16,True,False,49
F15,62.55978347331538,2,15,True,False,43
F15,97.08481624334046,2,14,True,False,43
F15,111.9908024357745,2,4,True,False,47
A10,580.7775550742299,8,87,True,False,99
A10,595.3639526364004,6,10,True,False,47
A10,494.4708622944379,6,52,True,False,79
F15,0.0,0,12,False,True,101
A10,0.0,0,18,False,True,104
F15,162.88887371034753,1,23,True,False,47
F15,107.2,1,17,True,False,60
A10,716.8407206806164,4,61,True,False,17
F15,289.7231413824237,2,33,True,False,88
A10,0.0,0,72,False,True,85
A10,616.7179223164469,5,9,True,False,39
A10,631.9175977289556,11,61,True,False,41
A10,561.7714522465591,6,20,True,False,30
A10,630.8606544688893,5,53,True,False,97
F15,91.2744588962735,1,3,True,False,65
A10,521.6971113920895,8,82,True,False,92
F15,92.62878953143264,1,26,True,False,67
F15,104.26683147925539,2,14,True,False,100
A10,341.3779746306301,6,132,False,True,116
A10,657.334006132952,7,32,True,False,117
F15,196.89458812564334,2,11,True,False,51
A10,462.9732035148836,7,49,False,True,113
F15,174.0092330491579,2,9,True,False,62
A10,489.6654718269233,6,42,True,False,84
A10,600.5620509545845,6,54,True,False,31
F15,81.27414655908771,1,3,True,False,52
F15,0.0,0,6,False,True,102
A10,610.831133307449,6,52,True,False,40
A10,526.6290841789026,5,24,True,False,39
F15,110.31003924876485,2,4,True,False,30
A10,561.301162808167,6,14,True,False,30
A10,0.0,0,12,False,True,84
F15,106.98226711750115,1,10,True,False,81
A10,536.7932764943852,5,61,True,False,74
F15,0.0,0,4,False,True,97
F15,44.40069204359396,1,24,False,True,92
F15,172.4114861288382,2,4,True,False,30
F15,0.0,0,14,False,True,133
A10,0.0,0,59,False,True,96
F15,67.38835367636182,2,10,True,False,80
A10,252.12014173059964,5,102,False,True,116
A10,372.10485831440326,5,24,False,True,99
F15,166.30193133936592,2,32,True,False,72
A10,493.8018619577043,5,16,True,False,54
F15,60.60386267873184,2,12,True,False,42
F15,67.67200413023353,2,26,True,False,68
A10,527.9698503141876,4,11,True,False,17
F15,89.12884931087969,1,3,True,False,32
F15,156.90376993485063,2,4,True,False,45
A10,250.13395382667662,5,63,False,True,130
F15,69.90073816007033,2,14,True,False,42
A10,672.6131412090037,7,60,True,False,62
A10,105.703489971628,3,42,False,True,105
F15,118.53568170760204,2,13,True,False,89
F15,81.29280686584785,2,18,True,False,47
A10,487.2397842216734,7,50,True,False,107
F15,190.7277814425857,2,21,True,False,48
F15,85.48396145795188,1,25,True,False,61
F15,184.0543840486206,1,15,True,False,56
A10,246.52078423373467,3,58,False,True,100
A10,511.2955943341707,6,24,True,False,51
A10,631.7219893958803,5,51,True,False,48
F15,67.33257942987547,2,10,True,False,34
A10,0.0,0,0,False,True,109
F15,171.43763135885206,1,8,True,False,73
A10,582.7531301027115,4,59,True,False,98
A10,63.968221054303655,2,84,False,True,124
F15,63.521194037239454,1,1,True,False,43
A10,558.5479618376895,6,13,True,False,30
F15,32.257852133949456,1,26,False,True,83
F15,103.8174404285458,1,10,True,False,89
A10,661.4825146351169,5,63,True,False,36
A10,570.909651740104,6,95,True,False,41
A10,60.60386267873184,2,54,False,True,101
A10,612.7127371596988,5,51,True,False,46
F15,87.84017738381004,1,22,True,False,97
A10,576.3619506465247,5,10,True,False,31
F15,88.64287001287117,1,2,True,False,50
F15,0.0,0,2,False,True,90
F15,120.82074430847433,1,38,True,False,102
F15,249.72781418708797,3,19,True,False,51
F15,0.0,0,4,False,True,98
F15,0.0,0,0,False,True,101
A10,630.8050899350941,7,78,True,False,58
F15,121.30116280816696,1,5,True,False,53
A10,574.2400184403206,6,45,True,False,27
F15,184.0543840486206,1,11,True,False,70
A10,261.7967451421599,4,45,False,True,127
A10,0.0,0,36,False,True,106
F15,69.8161877053315,1,2,True,False,64
A10,559.4553995107669,6,16,True,False,40
